Date,Series1,Series2,Series3,Series4,Series5,Series6,Series7,Series8,Series9,Series10
05-01-2015,274.473999,4652.569824,10607.67969,17408.71094,3350.519043,9473.160156,101.1,275.45,61.089912,109.995041
06-01-2015,286.188995,4592.740234,10514.87012,16883.18945,3351.446045,9469.660156,102.39,263.83,60.855923,111.976822
07-01-2015,294.337006,4650.470215,10627.12988,16885.33008,3373.954102,9518.179688,101.66,267.8,61.234409,111.755661
08-01-2015,283.348999,4736.189941,10800.54004,17167.09961,3293.456055,9837.610352,101.47,268.57,61.695511,110.275711
09-01-2015,290.40799,4704.069824,10711.41016,17197.73047,3285.412109,9648.5,102.11,266.36,62.005177,111.483482
10-01-2015,274.79599,4704.069824,10711.41016,17197.73047,3285.412109,9648.5,102.11,266.36,62.005177,111.483482
11-01-2015,265.660004,4704.069824,10711.41016,17197.73047,3285.412109,9648.5,102.11,266.36,62.005177,111.483482
12-01-2015,267.79599,4664.709961,10640.74023,17197.73047,3229.315918,9781.900391,103.52,253.94,61.929493,112.121475
13-01-2015,225.860992,4661.5,10622.95996,17087.71094,3235.301025,9941,103.65,252.73,61.929493,112.121475
14-01-2015,178.102997,4639.319824,10565.41992,16795.96094,3222.437012,9817.080078,103.66,266.23,61.784996,112.971985
15-01-2015,209.843994,4570.819824,10514.59961,17108.69922,3336.455078,10032.61035,106.2,254.1,61.406464,114.749664
16-01-2015,208.097,4634.379883,10660.32031,16864.16016,3376.495117,10167.76953,107.22,267.15,61.640453,113.286751
17-01-2015,199.259995,4634.379883,10660.32031,16864.16016,3376.495117,10167.76953,107.22,267.15,61.640453,113.286751
18-01-2015,210.339005,4634.379883,10660.32031,16864.16016,3376.495117,10167.76953,107.22,267.15,61.640453,113.286751
19-01-2015,214.860992,4634.379883,10660.32031,17014.28906,3116.351074,10242.34961,107.22,267.15,61.640453,113.286751
20-01-2015,211.315002,4654.850098,10658.62012,17366.30078,3173.052002,10257.12988,108.68,252.69,61.530338,114.792229
21-01-2015,226.897003,4667.419922,10720.40039,17280.48047,3323.611084,10299.23047,108.63,259.81,61.860664,113.465309
22-01-2015,233.406006,4750.399902,10859.34961,17329.01953,3343.343994,10435.62012,109.22,251.82,61.943241,113.057053
23-01-2015,232.878998,4757.879883,10788.33008,17511.75,3351.763916,10649.58008,108.54,247.91,61.943241,114.630615
24-01-2015,247.847,4757.879883,10788.33008,17511.75,3351.763916,10649.58008,108.54,247.91,61.943241,114.630615
25-01-2015,253.718002,4757.879883,10788.33008,17511.75,3351.763916,10649.58008,108.54,247.91,61.943241,114.630615
26-01-2015,273.472992,4771.759766,10847.15039,17468.51953,3383.181885,10798.33008,107.43,245.51,62.225403,114.281883
27-01-2015,263.475006,4681.5,10781.83008,17768.30078,3352.959961,10628.58008,108.48,251.39,62.177261,114.46051
28-01-2015,233.914993,4637.990234,10603.86035,17795.73047,3305.738037,10710.96973,108,241.71,62.046478,116.331757
29-01-2015,233.513,4683.410156,10691.62988,17606.2207,3262.304932,10737.87012,105.38,242.14,62.266731,115.566223
30-01-2015,226.425003,4635.240234,10537.21973,17674.39063,3210.363037,10694.32031,107.33,262.31,62.094673,117.616089
31-01-2015,217.464005,4635.240234,10537.21973,17674.39063,3210.363037,10694.32031,107.33,262.31,62.094673,117.616089
01-02-2015,226.972,4635.240234,10537.21973,17674.39063,3210.363037,10694.32031,107.33,262.31,62.094673,117.616089
02-02-2015,238.229004,4676.689941,10669.03027,17558.03906,3128.300049,10828.00977,107.14,269.55,62.333065,117.172104
03-02-2015,227.268005,4727.740234,10847.41016,17335.84961,3204.906982,10890.9502,105.75,288.47,62.68544,114.691933
04-02-2015,226.852997,4716.700195,10775.04004,17678.74023,3174.125977,10911.32031,106.1,263.46,62.422886,114.887909
05-02-2015,217.110992,4765.100098,10896.05957,17504.61914,3136.531006,10905.41016,105.95,274.5,62.789108,113.626488
06-02-2015,222.266006,4744.399902,10847.50977,17648.5,3075.906982,10846.38965,103.59,281.08,62.837467,111.615181
07-02-2015,227.753998,4744.399902,10847.50977,17648.5,3075.906982,10846.38965,103.59,281.08,62.837467,111.615181
08-02-2015,223.412003,4744.399902,10847.50977,17648.5,3075.906982,10846.38965,103.59,281.08,62.837467,111.615181
09-02-2015,220.110001,4726.009766,10826.58984,17711.92969,3095.124023,10663.50977,104.17,287.42,62.68544,111.43615
10-02-2015,219.839005,4787.640137,10915.13965,17652.67969,3141.593018,10753.83008,103.39,272.29,62.899658,110.549767
11-02-2015,219.184998,4801.180176,10889.04981,17652.67969,3157.704102,10752.11035,102.33,266.03,62.878922,110.754349
12-02-2015,221.764008,4857.609863,10995.30957,17979.7207,3173.416016,10919.65039,102.42,278.78,62.872002,110.387878
13-02-2015,235.427002,4893.839844,11042.69043,17913.35938,3203.826904,10963.40039,102.96,286.86,62.961826,109.254318
14-02-2015,257.321014,4893.839844,11042.69043,17913.35938,3203.826904,10963.40039,102.96,286.86,62.961826,109.254318
15-02-2015,234.824997,4893.839844,11042.69043,17913.35938,3203.826904,10963.40039,102.96,286.86,62.961826,109.254318
16-02-2015,233.843002,4893.839844,11042.69043,18004.76953,3222.363037,10923.23047,102.96,286.86,62.961826,109.254318
17-02-2015,243.610001,4899.27002,11054.46973,17987.08984,3246.906006,10895.62012,101.41,290.17,62.920372,107.609444
18-02-2015,236.326004,4906.359863,11064.08984,18199.16992,3246.906006,10961,100.7,282.31,63.134575,108.248619
19-02-2015,240.283005,4924.700195,11038.25977,18264.78906,3246.906006,11001.94043,101.33,277.02,62.989475,107.532692
20-02-2015,243.779007,4955.970215,11108.66992,18332.30078,3246.906006,11050.63965,101.1,271.57,63.162209,107.848061
